# List created using the lists from:
# http://www.ncbi.nlm.nih.gov/books/NBK3827/table/pubmedhelp.pubmedhelptable45/
Brevia	Brevia. (Rome).
Tijdschrift voor economische en sociale geografie = Journal of economic and social geography = Revue de geographie economique et humaine = Zeitschrift fur okonomische und soziale Geographie = Revista de geografia economica y social	Tijdschr. Econ. Soc. Geogr.
Tijdschrift voor gastro-enterologie	Tijdschr. Gastroenterol.
Tijdschrift voor geneeskunde	Tijdschr. Geneeskd.
Tijdschrift voor gerontologie en geriatrie	Tijdschr. Gerontol. Geriatr.
Tijdschrift voor geschiedenis (1920)	Tijdschr. Geschied.
Tijdschrift voor gezondheidszorg & ethiek : TGE	Tijdschr. Gezondh. Ethiek
Tijdschrift voor kindergeneeskunde	Tijdschr. Kindergeneeskd.
Tijdschrift voor philosophie	Tijdschr. Filos.
Tijdschrift voor psychiatrie	Tijdschr. Psychiatr.
Tijdschrift voor sociale geneeskunde	Tijdschr. Soc. Geneeskd.
Tijdschrift voor sociale geschiedenis	Tijdschr. Soc. Geschied.
Tijdschrift voor sociale gezondheidszorg : TSG : 14-daags blad van de Algemene Nederlandse Vereniging voor Sociale Gezondheidszorg	Tijdschr. Soc. Gezondheidsz.
Tijdschrift voor sociale wetenschappen	Tijdschr. Soc. Wet.
Tijdschrift voor sociologie	Tijdschr. Sociol.
Tijdschrift voor ziekenverpleging	Tijdschr. Voor Ziekenverpl.
Tijeretazos sobre malaria	Tijeretazos Malar.
Tikkun	Tikkun
Tile and till	Tile Till
Timarit Hjukrunarfelags Islands	Timarit Hjukrunarfel. Isl.
Time	Time
Timeline (Columbus, Ohio)	Timeline
Times (London, England : 1788)	Times (Lond).
Times / Tennessee Hospital Association	Times
Timisoara medicala	Timisoara Med.
Tip Fakultesi mecmuasi	Tip Fak. Mecm.
Tip tarihi arastirmalari = History of medicine studies	Tip Tarihi Arastirmalari
Tipica	Tipica
Tiroler Heimat	Tirol. Heim.
Tiroler heimatblatter : Zeitschrift fur Geschichte, Natur und Volkskunde / herausgegeben vom Verein fur Heimatschutz und Heimatpflege in Tirol	Tirol Heimatbl.
Tissue & cell	Tissue Cell
Tissue antigens	Tissue Antigens
Tissue engineering. Part B, Reviews	Tissue Eng. Part B. Rev.
Tissue engineering. Part C, Methods	Tissue Eng. Part C. Methods
To Helleniko periodiko gia stomatike & gnathoprosopike cheirourgike / episemo organo tes Hetaireias Stomatognathoprosopikes Cheirourgikes = The Greek journal of oral & maxillofacial surgery	Hell. Period. Stomat. Gnathopathoprosopike. Cheir.
Today's Catholic teacher	Todays. Cathol. Teach.
Today's Christian doctor : the journal of the Christian Medical & Dental Society	Todays. Christ. Dr.
Today's FDA : official monthly journal of the Florida Dental Association	Todays. FDA
Today's OR nurse	Todays. OR Nurse
Today's health	Todays. Health
Today's nursing home	Todays. Nurs. Home
Today's surgical nurse	Todays. Surg. Nurse
Toho Igakkai zasshi. Journal of the Medical Society of Toho University	Toho Igakkai Zasshi.
Tohogaku	Tohogaku
Tohoku Shika Daigaku Gakkai shi	Tohoku Shika Daigaku Gakkai Shi
Tohoku igaku zasshi	Tohoku Igaku Zasshi
Toko-ginecologia practica	Tokoginecol. Pract.
Tokyo igaku. The Tokyo journal of medical sciences	Tokyo Igaku.
Tomorrow's technology transfer	Tomorrows. Technol. Transf.
Tonan Ajia kenkyu	Tonan Ajia Kenkyu
Topics in HIV medicine : a publication of the International AIDS Society, USA	Top. HIV Med.
Topics in companion animal medicine	Top. Companion Anim. Med.
Topics in early childhood special education	Topics Early Child. Spec. Educ.
Topics in economic analysis & policy	Top. Econ. Anal. Policy
Topics in health care financing	Top. Health Care Financ.
Topics in health information management	Top. Health Inf. Manage.
Topics in health record management	Top. Health Rec. Manage.
Topics in hospital law	Top. Hosp. Law
Topics in hospital pharmacy management / Aspen Systems Corporation	Top. Hosp. Pharm. Manage.
Topics in magnetic resonance imaging : TMRI	Top. Magn. Reson. Imaging
Topics in spinal cord injury rehabilitation	Top. Spinal Cord Inj. Rehabil.
Topics in stroke rehabilitation	Top. Stroke Rehabil.
Toplum ve bilim	Toplum Bilim
Topological methods in nonlinear analysis	Topol. Methods Nonlinear Anal.
Topology and its applications	Topol. Appl.
Toronto journal of theology	Tor. J. Theol.
Toronto star	Tor. Star
Tort & insurance law journal	Tort Insur. Law J.
Tort trial & insurance practice law journal	Tort Trial Insur. Pract. Law J.
Tortenelmi szemle	Tortenelmi Sz.
Torteneti statisztikai tanulmanyok / Kozponti Statisztikai Hivatal Konyvtara, Magyar Orszagos Leveltar	Tort. Stat. Tanulm.
Torture : quarterly journal on rehabilitation of torture victims and prevention of torture	Torture
Tottori Rinsho Kagaku Kenkyukai shi	Tottori Rinsho Kagaku Kenkyukai Shi
Touchstone (Nashville, Tenn.)	Touchstone (Nashv).
Touro law review	Touro Law Rev.
Town and country planning : the quarterly review of the Town and Country Planning Association	Town Ctry. Plann.
Town hall journal	Town Hall J.
Toxicological European research. Recherche europeenne en toxicologie	Toxicol. Eur. Res.
Toxicological sciences : an official journal of the Society of Toxicology	Toxicol. Sci.
Toxicology	Toxicology
Toxicology and environmental health sciences	Toxicol. Environ. Health Sci.
Toxicology and industrial health	Toxicol. Ind. Health
Toxicology in vitro : an international journal published in association with BIBRA	Toxicol. In Vitro
Toxicology mechanisms and methods	Toxicol. Mech. Methods
Toxicology research	Toxicol. Res. (Camb).
Toxicon : official journal of the International Society on Toxinology	Toxicon
Toxins	Toxins (Basel).
Toyoshi kenkyu / [Toyoshi Kenkyukai]	Toyoshi Kenkyu
Trabajos del Instituto Cajal / Consejo Superior de Investigaciones Cientificas	Trab. Inst. Cajal
Trabajos del Instituto Cajal de investigaciones biologicas	Trab. Inst. Cajal Invest. Biol.
Tracking report / Center for Studying Health System Change	Track. Rep.
Tractrix : yearbook for the history of science, medicine, technology and mathematics	Tractrix
Tradimus : the magazine for RCN nursing students	Tradimus
Traditio	Traditio
Tradition (Rabbinical Council of America)	Tradition
Traffic (Copenhagen, Denmark)	Traffic
Training (New York, N.Y.)	Training
Trajecta	Trajecta (Leuven).
Trans-action	Trans. Action.
Transaction of the International Conference on Endodontics. International Conference on Endodontics	Trans. Int. Conf. Endod.
Transactions & studies of the College of Physicians of Philadelphia	Trans. Stud. Coll. Physicians Phila.
Transactions (English Ceramic Circle)	Trans. Engl. Ceram. Circle.
Transactions (Institute of British Geographers : 1965)	Trans. Inst. Br. Geogr.
Transactions - American Academy of Ophthalmology and Otolaryngology. American Academy of Ophthalmology and Otolaryngology	Trans. Am. Acad. Ophthalmol. Otolaryngol.
Transactions - American Society for Artificial Internal Organs	Trans. Am. Soc. Artif. Intern. Organs
Transactions - American Society of Ophthalmologic and Otolaryngologic Allergy	Trans. Am. Soc. Ophthalmol. Otolaryngol. Allergy
Transactions - Bristol and Gloucestershire Archaeological Society. Bristol and Gloucestershire Archaeological Society	Trans. Bristol Glos. Archaeol. Soc.
Transactions - Indiana Academy of Ophthalmology and Otolaryngology	Trans. Indiana Acad. Ophthalmol. Otolaryngol.
Transactions - Pennsylvania Academy of Ophthalmology and Otolaryngology	Trans. Pa. Acad. Ophthalmol. Otolaryngol.
Transactions - The Leicestershire Archaeological and Historical Society. Leicestershire Archaeological and Historical Society	Trans. Leicester. Archaeol. Hist. Soc.
Transactions and proceedings of the American Philological Association. American Philological Association	Trans. Proc. Am. Philol. Assoc.
Transactions and report / Liverpool Medical Institution. Liverpool Medical Institution	Trans. Rep. Liverp. Med. Inst.
Transactions of the ... Annual Meeting of the American Broncho-Esophagological Association. American Broncho-Esophagological Association. Meeting	Trans. Annu. Meet. Am. Bronchoesophagol. Assoc.
Transactions of the ... Annual Meeting of the American Climatological Association. American Climatological Association. Meeting	Trans. Am. Climatol. Assoc. Meet.
Transactions of the ... Meeting of the American Surgical Association. American Surgical Association. Meeting	Trans. Meet. Am. Surg. Assoc. Am. Surg. Assoc.
Transactions of the ... annual meeting of the American Laryngological Association. American Laryngological Association. Meeting	Trans. Am. Laryngol. Assoc.
Transactions of the ASAE. American Society of Agricultural Engineers	Trans. ASAE.
Transactions of the American Academy of Insurance Medicine : Annual Meeting. American Academy of Insurance Medicine. Meeting	Trans. Am. Acad. Insur. Med.
Transactions of the American Association of Genito-Urinary Surgeons	Trans. Am. Assoc. Genitourin. Surg.
Transactions of the American Climatological Association for the year ... American Climatological Association	Trans. Am. Climatol. Assoc.
Transactions of the American Climatological and Clinical Association. American Climatological and Clinical Association	Trans. Am. Climatol. Clin. Assoc.
Transactions of the American Laryngological, Rhinological and Otological Society, Inc	Trans. Am. Laryngol. Rhinol. Otol. Soc.
Transactions of the Cambridge Bibliographical Society	Trans. Camb. Bibliogr. Soc.
Transactions of the Canadian Ophthalmological Society	Trans. Can. Opthalmolog. Soc.
Transactions of the Illinois State Academy of Science. Illinois State Academy of Science	Trans. Ill. State Acad. Sci.
Transactions of the Japan Society for Aeronautical and Space Sciences	Trans. Jpn. Soc. Aeronaut. Space Sci.
Transactions of the Japanese Society for Artificial Intelligence = Jinko Chino Gakkai ronbunshi	Trans. Jpn. Soc. Artif. Intell.
Transactions of the Kansas Academy of Science. Kansas Academy of Science	Trans. Kans. Acad. Sci.
Transactions of the Lancashire and Cheshire Antiquarian Society. Lancashire and Cheshire Antiquarian Society	Trans. Lancaster. Cheshire Antiq. Soc.
Transactions of the Medical Society of London	Trans. Med. Soc. Lond.
Transactions of the New England Obstetrical and Gynecological Society	Trans. N. Engl. Obstet. Gynecol. Soc.
Transactions of the New York Academy of Sciences	Trans. N. Y. Acad. Sci.
Transactions of the Ophthalmological Society of New Zealand	Trans. Ophthalmol. Soc. N. Z.
Transactions of the Pacific Coast Obstetrical and Gynecological Society	Trans. Pac. Coast Obstet. Gynecol. Soc.
Transactions of the Pacific Coast Oto-Ophthalmological Society annual meeting	Trans. Pac. Coast Otoophthalmol. Soc. Annu. Meet.
Transactions of the Philological Society. Philological Society (Great Britain)	Trans. Philol. Soc.
Transactions of the Royal Schools of Dentistry, Stockholm and Umea. Stockholm. Tandlakarhogskolan	Trans. R. Sch. Dent. Stockh. Umea.
Transactions of the Royal Society of Canada = Memoires de la Societe royale du Canada	Trans. R. Soc. Can.
Transactions of the Royal Society of Edinburgh: earth sciences	Trans. R. Soc. Edinb. Earth Sci.
Transactions of the Southern Surgical Association. Southern Surgical Association (U.S.)	Trans. South. Surg. Assoc.
Transactions of the St. John's Hospital Dermatological Society	Trans. St. Johns. Hosp. Dermatol. Soc.
Transactions of the ophthalmological societies of the United Kingdom	Trans. Ophthalmol. Soc. U. K.
Transactions. American Urological Association. South Central Section	Trans. South Cent. Sect. Am. Urol. Assoc.
Transactions. American Urological Association. Southeastern Section	Trans. Southeast. Sect. Am. Urol. Assoc.
Transactions. American Urological Association. Western Section	Trans. West. Sect. Am. Urol. Assoc.
Transactions. Australasian Medical Congress (British Medical Association)	Trans. Aust. Med. Congr.
Transactions. Conference on Metabolic Aspects of Convalescence	Trans. Conf. Metab. Asp. Conval.
Transactions. National Safety Council. National Safety Congress	Trans. Natl. Saf. Congr.
Transactions. Ophthalmological Society of the United Kingdom	Trans. Opthal. Soc. U. K.
Transcription	Transcription
Transcultural psychiatry	Transcult. Psychiatry
Transfusion	Transfusion
Transfusion alternatives in transfusion medicine : TATM / NATA, Network for Advancement of Transfusion Alternatives	Transfus. Altern. Transfus. Med.
Transfusion and apheresis science : official journal of the World Apheresis Association : official journal of the European Society for Haemapheresis	Transfus. Apher. Sci.
Transfusion clinique et biologique : journal de la Societe francaise de transfusion sanguine	Transfus. Clin. Biol.
Transfusion medicine (Oxford, England)	Transfus. Med.
Transfusion medicine and hemotherapy : offizielles Organ der Deutschen Gesellschaft fur Transfusionsmedizin und Immunhamatologie	Transfus. Med. Hemother.
Translational cancer research	Transl. Cancer Res.
Translational gastrointestinal cancer	Transl. Gastrointest. Cancer
Translational medicine (Sunnyvale, Calif.)	Transl. Med. (Sunnyvale).
Translational oncogenomics	Transl. Oncogenomics
Translational psychiatry	Transl. Psychiatry
Translational research : the journal of laboratory and clinical medicine	Transl. Res.
